"Label (Grouping)","HOUSING TENURE!!Occupied housing units!!Owner-occupied"
"St. Bernard Parish, Louisiana",""
"    Estimate","11,377"
"    Percent","70.1%"
"St. Charles Parish, Louisiana",""
"    Estimate","15,268"
"    Percent","82.1%"
"St. Helena Parish, Louisiana",""
"    Estimate","3,297"
"    Percent","79.0%"
"St. James Parish, Louisiana",""
"    Estimate","6,369"
"    Percent","84.4%"
"St. John the Baptist Parish, Louisiana",""
"    Estimate","11,737"
"    Percent","77.5%"
"St. Landry Parish, Louisiana",""
"    Estimate","22,551"
"    Percent","70.1%"
"St. Martin Parish, Louisiana",""
"    Estimate","15,218"
"    Percent","77.7%"
"St. Mary Parish, Louisiana",""
"    Estimate","12,673"
"    Percent","68.6%"
"St. Tammany Parish, Louisiana",""
"    Estimate","82,876"
"    Percent","78.9%"
"Tangipahoa Parish, Louisiana",""
"    Estimate","36,540"
"    Percent","70.3%"
"Tensas Parish, Louisiana",""
"    Estimate","1,171"
"    Percent","74.2%"
"Terrebonne Parish, Louisiana",""
"    Estimate","31,734"
"    Percent","75.3%"
"Union Parish, Louisiana",""
"    Estimate","6,623"
"    Percent","77.8%"
"Vermilion Parish, Louisiana",""
"    Estimate","15,991"
"    Percent","73.4%"
"Vernon Parish, Louisiana",""
"    Estimate","10,248"
"    Percent","56.0%"
"Washington Parish, Louisiana",""
"    Estimate","12,277"
"    Percent","69.3%"
"Webster Parish, Louisiana",""
"    Estimate","9,581"
"    Percent","66.8%"
"West Baton Rouge Parish, Louisiana",""
"    Estimate","8,429"
"    Percent","76.8%"
"West Carroll Parish, Louisiana",""
"    Estimate","2,930"
"    Percent","76.1%"
"West Feliciana Parish, Louisiana",""
"    Estimate","3,047"
"    Percent","75.7%"
"Winn Parish, Louisiana",""
"    Estimate","3,409"
"    Percent","71.2%"
"Androscoggin County, Maine",""
"    Estimate","31,865"
"    Percent","67.9%"
"Aroostook County, Maine",""
"    Estimate","22,305"
"    Percent","74.5%"
"Cumberland County, Maine",""
"    Estimate","92,265"
"    Percent","69.8%"
"Franklin County, Maine",""
"    Estimate","9,666"
"    Percent","76.3%"
"Hancock County, Maine",""
"    Estimate","20,083"
"    Percent","78.5%"
"Kennebec County, Maine",""
"    Estimate","40,006"
"    Percent","73.7%"
"Knox County, Maine",""
"    Estimate","14,551"
"    Percent","78.7%"
"Lincoln County, Maine",""
"    Estimate","13,688"
"    Percent","82.5%"
"Oxford County, Maine",""
"    Estimate","19,461"
"    Percent","80.6%"
"Penobscot County, Maine",""
"    Estimate","46,010"
"    Percent","70.5%"
"Piscataquis County, Maine",""
"    Estimate","6,606"
"    Percent","78.8%"
"Sagadahoc County, Maine",""
"    Estimate","12,801"
"    Percent","77.8%"
"Somerset County, Maine",""
"    Estimate","17,968"
"    Percent","77.4%"
"Waldo County, Maine",""
"    Estimate","14,312"
"    Percent","81.9%"
"Washington County, Maine",""
"    Estimate","11,301"
"    Percent","79.7%"
"York County, Maine",""
"    Estimate","70,685"
"    Percent","77.3%"
"Allegany County, Maryland",""
"    Estimate","19,363"
"    Percent","70.7%"
"Anne Arundel County, Maryland",""
"    Estimate","168,852"
"    Percent","75.1%"
"Baltimore County, Maryland",""
"    Estimate","220,908"
"    Percent","66.4%"
"Calvert County, Maryland",""
"    Estimate","29,183"
"    Percent","87.2%"
"Caroline County, Maryland",""
"    Estimate","8,978"
"    Percent","71.9%"
"Carroll County, Maryland",""
"    Estimate","54,223"
"    Percent","84.3%"
"Cecil County, Maryland",""
"    Estimate","30,557"
"    Percent","75.3%"
"Charles County, Maryland",""
"    Estimate","49,958"
"    Percent","82.1%"
"Dorchester County, Maryland",""
"    Estimate","8,882"
"    Percent","65.6%"
"Frederick County, Maryland",""
"    Estimate","80,595"
"    Percent","77.0%"
"Garrett County, Maryland",""
"    Estimate","10,027"
"    Percent","79.7%"
"Harford County, Maryland",""
"    Estimate","81,092"
"    Percent","79.7%"
"Howard County, Maryland",""
"    Estimate","86,533"
"    Percent","71.5%"
"Kent County, Maryland",""
"    Estimate","6,161"
"    Percent","72.5%"
"Montgomery County, Maryland",""
"    Estimate","254,139"
"    Percent","65.3%"
"Prince George's County, Maryland",""
"    Estimate","216,692"
"    Percent","62.3%"
"Queen Anne's County, Maryland",""
"    Estimate","16,505"
"    Percent","82.9%"
"St. Mary's County, Maryland",""
"    Estimate","31,049"
"    Percent","73.2%"
"Somerset County, Maryland",""
"    Estimate","6,104"
"    Percent","73.1%"
"Talbot County, Maryland",""
"    Estimate","12,337"
"    Percent","75.1%"
"Washington County, Maryland",""
"    Estimate","39,936"
"    Percent","66.8%"
"Wicomico County, Maryland",""
"    Estimate","25,203"
"    Percent","62.3%"
"Worcester County, Maryland",""
"    Estimate","18,817"
"    Percent","78.0%"
"Baltimore city, Maryland",""
"    Estimate","121,471"
"    Percent","47.5%"
"Barnstable County, Massachusetts",""
"    Estimate","85,753"
"    Percent","81.1%"
"Berkshire County, Massachusetts",""
"    Estimate","40,263"
"    Percent","69.9%"
"Bristol County, Massachusetts",""
"    Estimate","145,649"
"    Percent","62.3%"
"Dukes County, Massachusetts",""
"    Estimate","6,225"
"    Percent","82.1%"
"Essex County, Massachusetts",""
"    Estimate","198,838"
"    Percent","63.5%"
"Franklin County, Massachusetts",""
"    Estimate","22,143"
"    Percent","70.1%"
"Hampden County, Massachusetts",""
"    Estimate","114,780"
"    Percent","62.2%"
"Hampshire County, Massachusetts",""
"    Estimate","42,116"
"    Percent","67.8%"
"Middlesex County, Massachusetts",""
"    Estimate","388,893"
"    Percent","61.3%"
"Nantucket County, Massachusetts",""
"    Estimate","3,770"
"    Percent","71.8%"
"Norfolk County, Massachusetts",""
"    Estimate","194,812"
"    Percent","68.7%"
"Plymouth County, Massachusetts",""
"    Estimate","157,665"
"    Percent","77.6%"
"Suffolk County, Massachusetts",""
"    Estimate","119,335"
"    Percent","36.5%"
"Worcester County, Massachusetts",""
"    Estimate","220,916"
"    Percent","65.8%"
"Alcona County, Michigan",""
"    Estimate","4,755"
"    Percent","89.6%"
"Alger County, Michigan",""
"    Estimate","3,047"
"    Percent","86.3%"
"Allegan County, Michigan",""
"    Estimate","39,772"
"    Percent","87.4%"
"Alpena County, Michigan",""
"    Estimate","10,415"
"    Percent","80.0%"
"Antrim County, Michigan",""
"    Estimate","9,587"
"    Percent","86.4%"
"Arenac County, Michigan",""
"    Estimate","5,651"
"    Percent","86.2%"
"Baraga County, Michigan",""
"    Estimate","2,695"
"    Percent","78.5%"
"Barry County, Michigan",""
"    Estimate","21,374"
"    Percent","87.3%"
"Bay County, Michigan",""
"    Estimate","34,745"
"    Percent","77.0%"
"Benzie County, Michigan",""
"    Estimate","6,764"
"    Percent","87.8%"
"Berrien County, Michigan",""
"    Estimate","46,611"
"    Percent","72.8%"
"Branch County, Michigan",""
"    Estimate","13,131"
"    Percent","77.7%"
"Calhoun County, Michigan",""
"    Estimate","38,747"
"    Percent","72.7%"
"Cass County, Michigan",""
"    Estimate","17,314"
"    Percent","81.6%"
"Charlevoix County, Michigan",""
"    Estimate","10,242"
"    Percent","83.5%"
"Cheboygan County, Michigan",""
"    Estimate","9,556"
"    Percent","85.6%"
"Chippewa County, Michigan",""
"    Estimate","10,564"
"    Percent","75.0%"
"Clare County, Michigan",""
"    Estimate","10,878"
"    Percent","86.9%"
"Clinton County, Michigan",""
"    Estimate","26,005"
"    Percent","82.2%"
"Crawford County, Michigan",""
"    Estimate","4,962"
"    Percent","79.6%"
"Delta County, Michigan",""
"    Estimate","13,098"
"    Percent","82.0%"
"Dickinson County, Michigan",""
"    Estimate","9,805"
"    Percent","82.4%"
"Eaton County, Michigan",""
"    Estimate","33,694"
"    Percent","74.2%"
"Emmet County, Michigan",""
"    Estimate","11,702"
"    Percent","77.0%"
"Genesee County, Michigan",""
"    Estimate","118,363"
"    Percent","70.7%"
"Gladwin County, Michigan",""
"    Estimate","9,710"
"    Percent","86.1%"
"Gogebic County, Michigan",""
"    Estimate","5,660"
"    Percent","81.0%"
"Grand Traverse County, Michigan",""
"    Estimate","31,090"
"    Percent","77.2%"
"Gratiot County, Michigan",""
"    Estimate","11,651"
"    Percent","78.9%"
"Hillsdale County, Michigan",""
"    Estimate","14,647"
"    Percent","82.0%"
"Houghton County, Michigan",""
"    Estimate","10,271"
"    Percent","71.8%"
"Huron County, Michigan",""
"    Estimate","11,577"
"    Percent","81.8%"
"Ingham County, Michigan",""
"    Estimate","69,627"
"    Percent","59.5%"
"Ionia County, Michigan",""
"    Estimate","18,052"
"    Percent","77.3%"
"Iosco County, Michigan",""
"    Estimate","9,613"
"    Percent","82.1%"
"Iron County, Michigan",""
"    Estimate","4,687"
"    Percent","84.5%"
"Isabella County, Michigan",""
"    Estimate","15,406"
"    Percent","61.8%"
"Jackson County, Michigan",""
"    Estimate","46,927"
"    Percent","75.0%"
"Kalamazoo County, Michigan",""
"    Estimate","69,106"
"    Percent","64.5%"
"Kalkaska County, Michigan",""
"    Estimate","6,868"
"    Percent","88.2%"
"Kent County, Michigan",""
"    Estimate","180,482"
"    Percent","70.3%"
"Keweenaw County, Michigan",""
"    Estimate","1,029"
"    Percent","90.7%"
"Lake County, Michigan",""
"    Estimate","4,255"
"    Percent","82.0%"
"Lapeer County, Michigan",""
"    Estimate","29,974"
"    Percent","86.0%"
"Leelanau County, Michigan",""
"    Estimate","8,837"
"    Percent","91.6%"
"Lenawee County, Michigan",""
"    Estimate","30,924"
"    Percent","79.6%"
"Livingston County, Michigan",""
"    Estimate","66,404"
"    Percent","86.9%"
"Luce County, Michigan",""
"    Estimate","2,027"
"    Percent","82.6%"
"Mackinac County, Michigan",""
"    Estimate","4,049"
"    Percent","77.9%"
"Macomb County, Michigan",""
"    Estimate","269,056"
"    Percent","75.0%"
"Manistee County, Michigan",""
"    Estimate","9,057"
"    Percent","85.8%"
"Marquette County, Michigan",""
"    Estimate","19,679"
"    Percent","69.6%"
"Mason County, Michigan",""
"    Estimate","10,025"
"    Percent","78.3%"
"Mecosta County, Michigan",""
"    Estimate","12,851"
"    Percent","76.9%"
"Menominee County, Michigan",""
"    Estimate","8,359"
"    Percent","80.7%"
"Midland County, Michigan",""
"    Estimate","27,322"
"    Percent","78.1%"
"Missaukee County, Michigan",""
"    Estimate","5,015"
"    Percent","84.9%"
"Monroe County, Michigan",""
"    Estimate","51,502"
"    Percent","81.7%"
"Montcalm County, Michigan",""
"    Estimate","20,380"
"    Percent","83.1%"
"Montmorency County, Michigan",""
"    Estimate","4,326"
"    Percent","87.9%"
"Muskegon County, Michigan",""
"    Estimate","52,871"
"    Percent","78.1%"
"Newaygo County, Michigan",""
"    Estimate","17,007"
"    Percent","86.5%"
"Oakland County, Michigan",""
"    Estimate","385,500"
"    Percent","72.7%"
"Oceana County, Michigan",""
"    Estimate","8,799"
"    Percent","84.5%"
"Ogemaw County, Michigan",""
"    Estimate","7,844"
"    Percent","83.7%"
"Ontonagon County, Michigan",""
"    Estimate","2,742"
"    Percent","87.1%"
"Osceola County, Michigan",""
"    Estimate","7,831"
"    Percent","83.7%"
"Oscoda County, Michigan",""
"    Estimate","3,305"
"    Percent","87.2%"
"Otsego County, Michigan",""
"    Estimate","8,673"
"    Percent","77.2%"
"Ottawa County, Michigan",""
"    Estimate","88,248"
"    Percent","79.3%"
"Presque Isle County, Michigan",""
"    Estimate","5,905"
"    Percent","88.7%"
"Roscommon County, Michigan",""
"    Estimate","9,893"
"    Percent","85.4%"
"Saginaw County, Michigan",""
"    Estimate","57,770"
"    Percent","74.1%"
"St. Clair County, Michigan",""
"    Estimate","54,782"
"    Percent","80.8%"
"St. Joseph County, Michigan",""
"    Estimate","17,980"
"    Percent","76.1%"
"Sanilac County, Michigan",""
"    Estimate","14,465"
"    Percent","82.6%"
"Schoolcraft County, Michigan",""
"    Estimate","3,370"
"    Percent","86.6%"
"Shiawassee County, Michigan",""
"    Estimate","22,536"
"    Percent","80.1%"
"Tuscola County, Michigan",""
"    Estimate","18,577"
"    Percent","86.4%"
"Van Buren County, Michigan",""
"    Estimate","24,671"
"    Percent","80.6%"
"Washtenaw County, Michigan",""
"    Estimate","92,768"
"    Percent","61.6%"
"Wayne County, Michigan",""
"    Estimate","453,652"
"    Percent","64.8%"
"Wexford County, Michigan",""
"    Estimate","11,079"
"    Percent","80.9%"
"Aitkin County, Minnesota",""
"    Estimate","6,160"
"    Percent","85.3%"
"Anoka County, Minnesota",""
"    Estimate","110,229"
"    Percent","80.2%"
"Becker County, Minnesota",""
"    Estimate","11,123"
"    Percent","77.2%"
"Beltrami County, Minnesota",""
"    Estimate","12,742"
"    Percent","70.1%"
"Benton County, Minnesota",""
"    Estimate","11,157"
"    Percent","66.7%"
"Big Stone County, Minnesota",""
"    Estimate","1,703"
"    Percent","79.7%"
"Blue Earth County, Minnesota",""
"    Estimate","16,939"
"    Percent","61.4%"
"Brown County, Minnesota",""
"    Estimate","8,700"
"    Percent","78.9%"
"Carlton County, Minnesota",""
"    Estimate","11,273"
"    Percent","80.0%"
"Carver County, Minnesota",""
"    Estimate","33,548"
"    Percent","81.5%"
"Cass County, Minnesota",""
"    Estimate","11,096"
"    Percent","86.2%"
"Chippewa County, Minnesota",""
"    Estimate","3,706"
"    Percent","72.3%"
"Chisago County, Minnesota",""
"    Estimate","18,356"
"    Percent","85.9%"
"Clay County, Minnesota",""
"    Estimate","17,424"
"    Percent","65.9%"
"Clearwater County, Minnesota",""
"    Estimate","2,676"
"    Percent","80.1%"
"Cook County, Minnesota",""
"    Estimate","2,105"
"    Percent","77.7%"
"Cottonwood County, Minnesota",""
"    Estimate","3,446"
"    Percent","74.4%"
"Crow Wing County, Minnesota",""
"    Estimate","22,647"
"    Percent","77.0%"
"Dakota County, Minnesota",""
"    Estimate","130,675"
"    Percent","74.9%"
"Dodge County, Minnesota",""
"    Estimate","6,997"
"    Percent","86.6%"
"Douglas County, Minnesota",""
"    Estimate","13,394"
"    Percent","76.5%"
"Faribault County, Minnesota",""
"    Estimate","4,814"
"    Percent","79.2%"
"Fillmore County, Minnesota",""
"    Estimate","7,202"
"    Percent","82.6%"
"Freeborn County, Minnesota",""
"    Estimate","10,213"
"    Percent","79.5%"
"Goodhue County, Minnesota",""
"    Estimate","15,548"
"    Percent","78.8%"
"Grant County, Minnesota",""
"    Estimate","1,971"
