County,Total civilian noninstitutionalized population
    Percent with a disability,
        Estimate,14.30%
"Humboldt County, California",
    Total,
        Estimate,"133,650"
    With a disability,
        Estimate,"25,206"
    Percent with a disability,
        Estimate,18.90%
"Imperial County, California",
    Total,
        Estimate,"173,281"
    With a disability,
        Estimate,"25,705"
    Percent with a disability,
        Estimate,14.80%
"Inyo County, California",
    Total,
        Estimate,"18,366"
    With a disability,
        Estimate,"2,707"
    Percent with a disability,
        Estimate,14.70%
"Kern County, California",
    Total,
        Estimate,"892,577"
    With a disability,
        Estimate,"110,244"
    Percent with a disability,
        Estimate,12.40%
"Kings County, California",
    Total,
        Estimate,"135,818"
    With a disability,
        Estimate,"17,424"
    Percent with a disability,
        Estimate,12.80%
"Lake County, California",
    Total,
        Estimate,"67,571"
    With a disability,
        Estimate,"14,587"
    Percent with a disability,
        Estimate,21.60%
"Lassen County, California",
    Total,
        Estimate,"23,976"
    With a disability,
        Estimate,"4,316"
    Percent with a disability,
        Estimate,18.00%
"Los Angeles County, California",
    Total,
        Estimate,"9,742,931"
    With a disability,
        Estimate,"1,097,687"
    Percent with a disability,
        Estimate,11.30%
"Madera County, California",
    Total,
        Estimate,"154,708"
    With a disability,
        Estimate,"22,009"
    Percent with a disability,
        Estimate,14.20%
"Marin County, California",
    Total,
        Estimate,"254,598"
    With a disability,
        Estimate,"25,464"
    Percent with a disability,
        Estimate,10.00%
"Mariposa County, California",
    Total,
        Estimate,"16,924"
    With a disability,
        Estimate,"3,018"
    Percent with a disability,
        Estimate,17.80%
"Mendocino County, California",
    Total,
        Estimate,"89,531"
    With a disability,
        Estimate,"16,661"
    Percent with a disability,
        Estimate,18.60%
"Merced County, California",
    Total,
        Estimate,"287,806"
    With a disability,
        Estimate,"35,949"
    Percent with a disability,
        Estimate,12.50%
"Modoc County, California",
    Total,
        Estimate,"8,445"
    With a disability,
        Estimate,"1,533"
    Percent with a disability,
        Estimate,18.20%
"Mono County, California",
    Total,
        Estimate,"13,006"
    With a disability,
        Estimate,"1,210"
    Percent with a disability,
        Estimate,9.30%
"Monterey County, California",
    Total,
        Estimate,"422,606"
    With a disability,
        Estimate,"39,174"
    Percent with a disability,
        Estimate,9.30%
"Napa County, California",
    Total,
        Estimate,"133,474"
    With a disability,
        Estimate,"17,074"
    Percent with a disability,
        Estimate,12.80%
"Nevada County, California",
    Total,
        Estimate,"101,585"
    With a disability,
        Estimate,"15,124"
    Percent with a disability,
        Estimate,14.90%
"Orange County, California",
    Total,
        Estimate,"3,151,837"
    With a disability,
        Estimate,"303,830"
    Percent with a disability,
        Estimate,9.60%
"Placer County, California",
    Total,
        Estimate,"416,138"
    With a disability,
        Estimate,"48,859"
    Percent with a disability,
        Estimate,11.70%
"Plumas County, California",
    Total,
        Estimate,"19,291"
    With a disability,
        Estimate,"4,755"
    Percent with a disability,
        Estimate,24.60%
"Riverside County, California",
    Total,
        Estimate,"2,455,671"
    With a disability,
        Estimate,"298,390"
